sample_id	bed_lines	ref_lines	rs_lines	rs_bytes	rs_wall_s	rs_peak_rss_kb
s1731	104761	105214	104761	37867856	27.14	1126160
s1732	278898	282111	278898	100845362	28.25	923064
s1733	178685	179880	178685	64640204	44.57	1025192
s1734	83238	83564	83238	30097450	58.11	1803300
s1735	92176	92608	92176	33072565	22.15	144216
s1736	90384	90786	90384	32437876	24.04	145556
s1737	71653	71911	71653	25694090	22.77	137168
s1738	48083	45721	48083	17253072	10.27	94448
s1739	106911	96556	106911	38425510	27.74	158308
s1740	32778	32909	32778	11784798	5.3	84268
s1741	92205	92595	92205	33111222	22.2	153992
s1742	85232	85567	85232	30596476	21.22	144292
s1743	56712	56919	56712	20364797	8.02	99220
s1744	62724	63001	62724	22517936	12.3	114872
s1745	81100	81442	81100	29106802	19.33	137644
s1746	23356	20178	23356	8387290	4.08	73648
s1747	208441	209794	208441	75318979	24.49	172556
s1748	193528	194767	193528	69910743	27.96	165564
s1749	146935	147734	146935	53038321	23.42	148196
s1750	153627	154553	153627	55471270	16.89	155396
s1751	59293	59700	59293	21374106	41.0	128956
s1752	120634	121323	120634	43528659	19.57	142484
s1753	244828	246629	244828	88459429	47.49	168112
s1754	257301	259181	257301	92962671	30.56	176628
s1755	245322	247109	245322	88643877	22.35	190896
s1756	315541	273954	315541	114441855	19.97	207992
s1757	341179	346644	341179	123759479	23.55	227160
s1758	329020	334063	329020	119337892	53.25	191316
s1759	332920	337725	332920	120710650	23.37	194996
s1760	344954	350101	344954	125146594	24.64	197296
s1761	311896	316341	311896	113104152	30.54	198364
s1762	360733	343120	360733	130890701	26.28	222804
s1763	346065	351049	346065	125425747	30.43	207764
s1764	321711	326260	321711	116594381	23.55	215248
s1765	343749	348677	343749	124630931	29.36	237964
s1766	300180	304704	300180	108808094	21.97	206448
s1767	101499	103098	101499	36853962	4.65	98192
s1768	301193	291584	301193	109300649	12.99	186836
s1769	201974	203363	201974	73031131	14.18	164476
s1770	258788	260712	258788	93525690	20.29	176496
s1771	242263	243962	242263	87545990	70.23	201896
s1772	292308	294451	292308	105666593	19.92	200332
s1773	124900	125872	124900	45166409	9.08	104328
s1774	233027	234749	233027	84197128	18.92	156628
s1775	291130	293439	291130	105222252	50.13	219516
s1776	251464	253264	251464	90880430	24.41	179120
s1777	25714	25906	25714	9287508	1.52	56576
s1778	80800	81388	80800	29227643	4.44	89196
s1779	152927	153905	152927	55178683	13.97	132164
s1780	137955	138729	137955	49740930	17.59	137704
s1781	46583	46860	46583	16827257	3.41	74472
s1782	109428	109971	109428	39465661	15.18	115952
s1783	148122	148966	148122	53470842	19.1	140312
s1784	56573	56782	56573	20279949	20.41	121272
s1785	74389	74647	74389	26683529	23.58	136264
s1786	71920	72154	71920	25802565	19.09	131440
s1787	65172	65438	65172	23385069	16.97	116840
s1788	69520	69808	69520	24936457	21.81	146012
s1789	84063	72474	84063	30168094	22.25	143972
s1790	75252	75533	75252	26997411	27.05	140564
s1791	53631	51177	53631	19222651	13.33	109836
s1792	67602	67871	67602	24273683	15.97	119912
s1793	37703	37844	37703	13517906	26.5	87776
s1794	69609	69887	69609	24972295	22.14	127108
s1795	85288	85619	85288	30617473	23.85	144000
s1796	37410	37527	37410	13435095	8.95	89036
s1797	68588	68857	68588	24608805	41.58	128396
s1798	249224	251066	249224	90064226	23.74	184112
s1799	243710	245441	243710	88068722	48.1	176904
s1800	17363	17431	17363	6249813	1.66	53504
s1801	27943	28163	27943	10093085	1.16	56188
s1802	44163	44470	44163	15957826	3.45	65068
s1803	254410	240481	254410	91933519	24.47	183212
s1804	229074	191213	229074	82804718	17.26	175908
s1805	243103	244902	243103	87846293	27.98	176108
s1806	165461	166664	165461	59801588	12.02	138356
s1807	252966	255435	252966	91415095	20.47	196004
s1808	223878	178552	223878	80885860	24.03	176220
s1809	246276	247980	246276	89014581	49.43	206940
s1810	231189	232993	231189	83558114	29.16	189764
s1811	241537	243349	241537	87298200	21.15	172952
s1812	18517	18605	18517	6685322	1.83	52672
s1813	131853	132604	131853	47578994	18.2	141424
s1814	133408	134275	133408	48105184	18.24	127064
s1815	174964	175865	174964	63272634	19.53	153416
s1816	138333	139043	138333	49939612	16.39	143432
